RC[313760105000002]		253	Dist (km)
>	L[313760105000122] tel	15
RC[313760105000029]		191	Dist (km)
>	L[313760105000168]	143	0.66
>	L[313760105000168] tel	7
>	L[SHC1]	28	20.00
>	L[SHC1] tel	1
>	L[THC1]	9	25.00
>	L[THC1] tel	0
RC[313760105000030]		231	Dist (km)
>	L[313760105000259]	173	0.58
>	L[313760105000259] tel	8
>	L[SHC1]	34	20.00
>	L[SHC1] tel	1
>	L[THC1]	11	25.00
>	L[THC1] tel	0
RC[313760105000036]		251	Dist (km)
>	L[313760105000132]	188	0.12
>	L[313760105000132] tel	9
>	L[SHC1]	37	20.00
>	L[SHC1] tel	1
>	L[THC1]	12	25.00
>	L[THC1] tel	0
RC[313760105000037]		418	Dist (km)
>	L[313760105000243]	398	0.26
>	L[313760105000243] tel	19
RC[313760105000039]		701	Dist (km)
>	L[313760105000135]	579	0.63
>	L[313760105000135] tel	28
>	L[SHC1]	88	20.00
>	L[SHC1] tel	4
RC[313760105000040]		390	Dist (km)
>	L[313760105000045]	293	0.80
>	L[313760105000045] tel	14
>	L[SHC1]	58	20.00
>	L[SHC1] tel	2
>	L[THC1]	19	25.00
>	L[THC1] tel	0
RC[313760105000043]		448	Dist (km)
>	L[313760105000186]	337	0.30
>	L[313760105000186] tel	16
>	L[SHC1]	67	20.00
>	L[SHC1] tel	3
>	L[THC1]	22	25.00
>	L[THC1] tel	1
RC[313760105000045]		401	Dist (km)
>	L[313760105000045]	401	0.00
RC[313760105000048]		36	Dist (km)
>	L[313760105000048]	28	0.00
>	L[SHC1]	5	20.00
>	L[SHC1] tel	0
>	L[THC1]	1	25.00
>	L[THC1] tel	0
RC[313760105000050]		3	Dist (km)
>	L[313760105000285]	2	2.39
>	L[313760105000285] tel	0
RC[313760105000058]		177	Dist (km)
>	L[313760105000235]	133	2.52
>	L[313760105000235] tel	6
>	L[SHC1]	26	20.00
>	L[SHC1] tel	1
>	L[THC1]	8	25.00
>	L[THC1] tel	0
RC[313760105000064]		390	Dist (km)
>	L[313760105000139]	293	0.78
>	L[313760105000139] tel	14
>	L[SHC1]	58	20.00
>	L[SHC1] tel	2
>	L[THC1]	19	25.00
>	L[THC1] tel	0
RC[313760105000066]		358	Dist (km)
>	L[313760105000243]	269	0.43
>	L[313760105000243] tel	13
>	L[SHC1]	53	20.00
>	L[SHC1] tel	2
>	L[THC1]	17	25.00
>	L[THC1] tel	0
RC[313760105000067]		193	Dist (km)
>	L[313760105000168]	145	0.44
>	L[313760105000168] tel	7
>	L[SHC1]	28	20.00
>	L[SHC1] tel	1
>	L[THC1]	9	25.00
>	L[THC1] tel	0
RC[313760105000068]		195	Dist (km)
>	L[313760105000259]	146	0.35
>	L[313760105000259] tel	7
>	L[SHC1]	29	20.00
>	L[SHC1] tel	1
>	L[THC1]	9	25.00
>	L[THC1] tel	0
RC[313760105000069]		114	Dist (km)
>	L[313760105000259]	85	0.24
>	L[313760105000259] tel	4
>	L[SHC1]	17	20.00
>	L[SHC1] tel	0
>	L[THC1]	5	25.00
>	L[THC1] tel	0
RC[313760105000071]		294	Dist (km)
>	L[313760105000239]	221	0.69
>	L[313760105000239] tel	11
>	L[SHC1]	44	20.00
>	L[SHC1] tel	2
>	L[THC1]	14	25.00
>	L[THC1] tel	0
RC[313760105000072]		311	Dist (km)
>	L[313760105000239]	296	0.57
>	L[313760105000239] tel	14
RC[313760105000074]		428	Dist (km)
>	L[313760105000077]	343	0.49
>	L[313760105000077] tel	17
>	L[SHC1]	64	20.00
>	L[SHC1] tel	3
RC[313760105000075]		174	Dist (km)
>	L[313760105000076]	130	0.26
>	L[313760105000076] tel	6
>	L[SHC1]	26	20.00
>	L[SHC1] tel	1
>	L[THC1]	8	25.00
>	L[THC1] tel	0
RC[313760105000076]		179	Dist (km)
>	L[313760105000076]	141	0.00
>	L[SHC1]	26	20.00
>	L[SHC1] tel	1
>	L[THC1]	8	25.00
>	L[THC1] tel	0
RC[313760105000077]		314	Dist (km)
>	L[313760105000077]	314	0.00
RC[313760105000078]		238	Dist (km)
>	L[313760105000076]	179	0.64
>	L[313760105000076] tel	8
>	L[SHC1]	35	20.00
>	L[SHC1] tel	1
>	L[THC1]	11	25.00
>	L[THC1] tel	0
RC[313760105000080]		263	Dist (km)
>	L[313760105000076]	197	0.31
>	L[313760105000076] tel	9
>	L[SHC1]	39	20.00
>	L[SHC1] tel	1
>	L[THC1]	13	25.00
>	L[THC1] tel	0
RC[313760105000081]		184	Dist (km)
>	L[313760105000013]	138	1.09
>	L[313760105000013] tel	6
>	L[SHC1]	27	20.00
>	L[SHC1] tel	1
>	L[THC1]	9	25.00
>	L[THC1] tel	0
RC[313760105000082]		176	Dist (km)
>	L[313760105000076]	132	0.76
>	L[313760105000076] tel	6
>	L[SHC1]	26	20.00
>	L[SHC1] tel	1
>	L[THC1]	8	25.00
>	L[THC1] tel	0
RC[313760105000083]		373	Dist (km)
>	L[313760105000013]	280	0.69
>	L[313760105000013] tel	14
>	L[SHC1]	55	20.00
>	L[SHC1] tel	2
>	L[THC1]	18	25.00
>	L[THC1] tel	0
RC[313760105000084]		151	Dist (km)
>	L[313760105000076]	113	0.36
>	L[313760105000076] tel	5
>	L[SHC1]	22	20.00
>	L[SHC1] tel	1
>	L[THC1]	7	25.00
>	L[THC1] tel	0
RC[313760105000085]		182	Dist (km)
>	L[313760105000076]	136	0.35
>	L[313760105000076] tel	6
>	L[SHC1]	27	20.00
>	L[SHC1] tel	1
>	L[THC1]	9	25.00
>	L[THC1] tel	0
RC[313760105000086]		390	Dist (km)
>	L[313760105000076]	293	0.53
>	L[313760105000076] tel	14
>	L[SHC1]	58	20.00
>	L[SHC1] tel	2
>	L[THC1]	19	25.00
>	L[THC1] tel	0
RC[313760105000087]		179	Dist (km)
>	L[313760105000270]	134	1.12
>	L[313760105000270] tel	6
>	L[SHC1]	26	20.00
>	L[SHC1] tel	1
>	L[THC1]	8	25.00
>	L[THC1] tel	0
RC[313760105000088]		331	Dist (km)
>	L[313760105000270]	249	0.73
>	L[313760105000270] tel	12
>	L[SHC1]	49	20.00
>	L[SHC1] tel	2
>	L[THC1]	16	25.00
>	L[THC1] tel	0
RC[313760105000089]		219	Dist (km)
>	L[313760105000013]	164	0.53
>	L[313760105000013] tel	8
>	L[SHC1]	32	20.00
>	L[SHC1] tel	1
>	L[THC1]	10	25.00
>	L[THC1] tel	0
RC[313760105000090]		533	Dist (km)
>	L[313760105000270]	427	0.47
>	L[313760105000270] tel	21
>	L[SHC1]	79	20.00
>	L[SHC1] tel	3
RC[313760105000091]		339	Dist (km)
>	L[313760105000270]	272	0.44
>	L[313760105000270] tel	13
>	L[SHC1]	50	20.00
>	L[SHC1] tel	2
RC[313760105000092]		58	Dist (km)
>	L[313760105000270]	43	0.63
>	L[313760105000270] tel	2
>	L[SHC1]	8	20.00
>	L[SHC1] tel	0
>	L[THC1]	2	25.00
>	L[THC1] tel	0
RC[313760105000094]		505	Dist (km)
>	L[313760105000013]	379	0.75
>	L[313760105000013] tel	18
>	L[SHC1]	75	20.00
>	L[SHC1] tel	3
>	L[THC1]	25	25.00
>	L[THC1] tel	1
RC[313760105000095]		295	Dist (km)
>	L[313760105000013]	236	0.63
>	L[313760105000013] tel	11
>	L[SHC1]	44	20.00
>	L[SHC1] tel	2
RC[313760105000096]		180	Dist (km)
>	L[313760105000201]	135	0.88
>	L[313760105000201] tel	6
>	L[SHC1]	27	20.00
>	L[SHC1] tel	1
>	L[THC1]	9	25.00
>	L[THC1] tel	0
RC[313760105000097]		179	Dist (km)
>	L[313760105000013]	134	1.21
>	L[313760105000013] tel	6
>	L[SHC1]	26	20.00
>	L[SHC1] tel	1
>	L[THC1]	8	25.00
>	L[THC1] tel	0
RC[313760105000098]		193	Dist (km)
>	L[313760105000013]	154	1.25
>	L[313760105000013] tel	7
>	L[SHC1]	28	20.00
>	L[SHC1] tel	1
RC[313760105000099]		467	Dist (km)
>	L[313760105000125]	357	1.53
>	L[313760105000125] tel	17
>	L[SHC1]	70	20.00
>	L[SHC1] tel	3
>	L[THC1]	17	25.00
>	L[THC1] tel	0
RC[313760105000101]		37	Dist (km)
>	L[313760105000201]	35	1.14
>	L[313760105000201] tel	1
RC[313760105000102]		1106	Dist (km)
>	L[313760105000102]	927	0.00
>	L[SHC1]	165	20.00
>	L[SHC1] tel	8
>	L[THC1]	4	25.00
>	L[THC1] tel	0
RC[313760105000103]		301	Dist (km)
>	L[313760105000102]	226	0.87
>	L[313760105000102] tel	11
>	L[SHC1]	45	20.00
>	L[SHC1] tel	2
>	L[THC1]	15	25.00
>	L[THC1] tel	0
RC[313760105000105]		585	Dist (km)
>	L[313760105000102]	440	0.80
>	L[313760105000102] tel	22
>	L[SHC1]	87	20.00
>	L[SHC1] tel	4
>	L[THC1]	29	25.00
>	L[THC1] tel	1
RC[313760105000106]		773	Dist (km)
>	L[313760105000285]	581	1.15
>	L[313760105000285] tel	29
>	L[SHC1]	115	20.00
>	L[SHC1] tel	5
>	L[THC1]	38	25.00
>	L[THC1] tel	1
RC[313760105000108]		166	Dist (km)
>	L[313760105000125]	133	0.50
>	L[313760105000125] tel	6
>	L[SHC1]	24	20.00
>	L[SHC1] tel	1
RC[313760105000109]		397	Dist (km)
>	L[313760105000125]	298	0.26
>	L[313760105000125] tel	14
>	L[SHC1]	59	20.00
>	L[SHC1] tel	2
>	L[THC1]	19	25.00
>	L[THC1] tel	0
RC[313760105000110]		359	Dist (km)
>	L[313760105000125]	288	1.04
>	L[313760105000125] tel	14
>	L[SHC1]	53	20.00
>	L[SHC1] tel	2
RC[313760105000112]		86	Dist (km)
>	L[313760105000285]	81	0.93
>	L[313760105000285] tel	4
RC[313760105000114]		11	Dist (km)
>	L[313760105000285]	10	0.98
>	L[313760105000285] tel	0
RC[313760105000115]		0	Dist (km)
RC[313760105000118]		301	Dist (km)
>	L[313760105000235]	239	1.38
>	L[313760105000235] tel	11
>	L[SHC1]	45	20.00
>	L[SHC1] tel	2
>	L[THC1]	2	25.00
>	L[THC1] tel	0
RC[313760105000120]		330	Dist (km)
>	L[313760105000235]	264	1.02
>	L[313760105000235] tel	13
>	L[SHC1]	49	20.00
>	L[SHC1] tel	2
RC[313760105000122]		378	Dist (km)
>	L[313760105000122]	378	0.00
RC[313760105000123]		99	Dist (km)
>	L[313760105000125]	79	0.59
>	L[313760105000125] tel	3
>	L[SHC1]	14	20.00
>	L[SHC1] tel	0
RC[313760105000124]		206	Dist (km)
>	L[313760105000125]	154	0.26
>	L[313760105000125] tel	7
>	L[SHC1]	30	20.00
>	L[SHC1] tel	1
>	L[THC1]	10	25.00
>	L[THC1] tel	0
RC[313760105000125]		124	Dist (km)
>	L[313760105000125]	97	0.00
>	L[SHC1]	18	20.00
>	L[SHC1] tel	0
>	L[THC1]	6	25.00
>	L[THC1] tel	0
RC[313760105000126]		178	Dist (km)
>	L[313760105000168]	169	0.37
>	L[313760105000168] tel	8
RC[313760105000127]		425	Dist (km)
>	L[313760105000168]	404	0.25
>	L[313760105000168] tel	20
RC[313760105000128]		773	Dist (km)
>	L[313760105000177]	718	0.67
>	L[313760105000177] tel	35
>	L[SHC1]	17	20.00
>	L[SHC1] tel	0
RC[313760105000129]		378	Dist (km)
>	L[313760105000177]	360	0.42
>	L[313760105000177] tel	18
RC[313760105000132]		336	Dist (km)
>	L[313760105000132]	265	0.00
>	L[SHC1]	50	20.00
>	L[SHC1] tel	2
>	L[THC1]	16	25.00
>	L[THC1] tel	0
RC[313760105000133]		493	Dist (km)
>	L[313760105000243]	469	0.42
>	L[313760105000243] tel	23
RC[313760105000134]		253	Dist (km)
>	L[313760105000243]	240	0.91
>	L[313760105000243] tel	12
RC[313760105000135]		340	Dist (km)
>	L[313760105000135]	268	0.00
>	L[SHC1]	50	20.00
>	L[SHC1] tel	2
>	L[THC1]	17	25.00
>	L[THC1] tel	0
RC[313760105000136]		302	Dist (km)
>	L[313760105000135]	287	0.53
>	L[313760105000135] tel	14
RC[313760105000138]		554	Dist (km)
>	L[313760105000139]	416	0.21
>	L[313760105000139] tel	20
>	L[SHC1]	83	20.00
>	L[SHC1] tel	4
>	L[THC1]	27	25.00
>	L[THC1] tel	1
RC[313760105000139]		324	Dist (km)
>	L[313760105000139]	255	0.00
>	L[SHC1]	48	20.00
>	L[SHC1] tel	2
>	L[THC1]	16	25.00
>	L[THC1] tel	0
RC[313760105000140]		527	Dist (km)
>	L[313760105000045]	422	0.26
>	L[313760105000045] tel	21
>	L[SHC1]	79	20.00
>	L[SHC1] tel	3
RC[313760105000141]		200	Dist (km)
>	L[313760105000045]	160	0.17
>	L[313760105000045] tel	8
>	L[SHC1]	30	20.00
>	L[SHC1] tel	1
RC[313760105000142]		226	Dist (km)
>	L[313760105000045]	215	0.66
>	L[313760105000045] tel	10
RC[313760105000144]		84	Dist (km)
>	L[313760105000270]	63	1.61
>	L[313760105000270] tel	3
>	L[SHC1]	12	20.00
>	L[SHC1] tel	0
>	L[THC1]	4	25.00
>	L[THC1] tel	0
RC[313760105000145]		382	Dist (km)
>	L[313760105000270]	288	1.50
>	L[313760105000270] tel	14
>	L[SHC1]	57	20.00
>	L[SHC1] tel	2
>	L[THC1]	17	25.00
>	L[THC1] tel	0
RC[313760105000146]		68	Dist (km)
>	L[313760105000264]	51	3.17
>	L[313760105000264] tel	2
>	L[SHC1]	10	20.00
>	L[SHC1] tel	0
>	L[THC1]	3	25.00
>	L[THC1] tel	0
RC[313760105000147]		306	Dist (km)
>	L[313760105000177]	291	1.60
>	L[313760105000177] tel	14
RC[313760105000150]		545	Dist (km)
>	L[313760105000139]	518	0.95
>	L[313760105000139] tel	25
>	L[SHC1]	0	20.00
>	L[SHC1] tel	0
RC[313760105000151]		290	Dist (km)
>	L[313760105000139]	218	1.11
>	L[313760105000139] tel	10
>	L[SHC1]	43	20.00
>	L[SHC1] tel	2
>	L[THC1]	14	25.00
>	L[THC1] tel	0
RC[313760105000152]		124	Dist (km)
>	L[313760115000023]	118	1.95
>	L[313760115000023] tel	5
RC[313760105000161]		452	Dist (km)
>	L[313760105000235]	362	0.72
>	L[313760105000235] tel	18
>	L[SHC1]	67	20.00
>	L[SHC1] tel	3
RC[313760105000162]		327	Dist (km)
>	L[313760105000139]	246	0.42
>	L[313760105000139] tel	12
>	L[SHC1]	49	20.00
>	L[SHC1] tel	2
>	L[THC1]	16	25.00
>	L[THC1] tel	0
RC[313760105000163]		322	Dist (km)
>	L[313760105000139]	242	0.44
>	L[313760105000139] tel	12
>	L[SHC1]	48	20.00
>	L[SHC1] tel	2
>	L[THC1]	16	25.00
>	L[THC1] tel	0
RC[313760105000164]		490	Dist (km)
>	L[313760105000139]	368	0.60
>	L[313760105000139] tel	18
>	L[SHC1]	73	20.00
>	L[SHC1] tel	3
>	L[THC1]	24	25.00
>	L[THC1] tel	1
RC[313760105000165]		265	Dist (km)
>	L[313760105000125]	199	0.32
>	L[313760105000125] tel	9
>	L[SHC1]	39	20.00
>	L[SHC1] tel	1
>	L[THC1]	13	25.00
>	L[THC1] tel	0
RC[313760105000166]		385	Dist (km)
>	L[313760105000235]	289	1.26
>	L[313760105000235] tel	14
>	L[SHC1]	57	20.00
>	L[SHC1] tel	2
>	L[THC1]	19	25.00
>	L[THC1] tel	0
RC[313760105000167]		333	Dist (km)
>	L[313760105000285]	317	1.19
>	L[313760105000285] tel	15
RC[313760105000168]		312	Dist (km)
>	L[313760105000168]	246	0.00
>	L[SHC1]	46	20.00
>	L[SHC1] tel	2
>	L[THC1]	15	25.00
>	L[THC1] tel	0
RC[313760105000169]		241	Dist (km)
>	L[313760105000168]	229	0.30
>	L[313760105000168] tel	11
RC[313760105000170]		417	Dist (km)
>	L[313760105000102]	313	0.40
>	L[313760105000102] tel	15
>	L[SHC1]	62	20.00
>	L[SHC1] tel	3
>	L[THC1]	20	25.00
>	L[THC1] tel	1
RC[313760105000171]		382	Dist (km)
>	L[313760105000201]	287	0.35
>	L[313760105000201] tel	14
>	L[SHC1]	57	20.00
>	L[SHC1] tel	2
>	L[THC1]	19	25.00
>	L[THC1] tel	0
RC[313760105000172]		123	Dist (km)
>	L[313760105000177]	117	2.40
>	L[313760105000177] tel	5
RC[313760105000173]		187	Dist (km)
>	L[313760105000235]	178	1.86
>	L[313760105000235] tel	8
RC[313760105000174]		153	Dist (km)
>	L[313760105000235]	145	2.38
>	L[313760105000235] tel	7
RC[313760105000175]		238	Dist (km)
>	L[313760105000132]	179	0.16
>	L[313760105000132] tel	8
>	L[SHC1]	35	20.00
>	L[SHC1] tel	1
>	L[THC1]	11	25.00
>	L[THC1] tel	0
RC[313760105000176]		316	Dist (km)
>	L[313760105000168]	300	0.26
>	L[313760105000168] tel	15
RC[313760105000177]		320	Dist (km)
>	L[313760105000177]	320	0.00
RC[313760105000178]		361	Dist (km)
>	L[313760105000177]	343	0.04
>	L[313760105000177] tel	17
RC[313760105000179]		231	Dist (km)
>	L[313760105000177]	220	0.52
>	L[313760105000177] tel	11
RC[313760105000180]		373	Dist (km)
>	L[313760105000177]	355	0.31
>	L[313760105000177] tel	17
RC[313760105000181]		0	Dist (km)
RC[313760105000182]		507	Dist (km)
>	L[313760105000139]	381	0.63
>	L[313760105000139] tel	19
>	L[SHC1]	76	20.00
>	L[SHC1] tel	3
>	L[THC1]	25	25.00
>	L[THC1] tel	1
RC[313760105000183]		614	Dist (km)
>	L[313760105000139]	461	0.62
>	L[313760105000139] tel	23
>	L[SHC1]	92	20.00
>	L[SHC1] tel	4
>	L[THC1]	30	25.00
>	L[THC1] tel	1
RC[313760105000184]		404	Dist (km)
>	L[313760105000139]	303	0.74
>	L[313760105000139] tel	15
>	L[SHC1]	60	20.00
>	L[SHC1] tel	3
>	L[THC1]	20	25.00
>	L[THC1] tel	1
RC[313760105000185]		388	Dist (km)
>	L[313760105000139]	291	0.90
>	L[313760105000139] tel	14
>	L[SHC1]	58	20.00
>	L[SHC1] tel	2
>	L[THC1]	19	25.00
>	L[THC1] tel	0
RC[313760105000186]		252	Dist (km)
>	L[313760105000186]	199	0.00
>	L[SHC1]	37	20.00
>	L[SHC1] tel	1
>	L[THC1]	12	25.00
>	L[THC1] tel	0
RC[313760105000187]		428	Dist (km)
>	L[313760105000186]	322	0.21
>	L[313760105000186] tel	16
>	L[SHC1]	64	20.00
>	L[SHC1] tel	3
>	L[THC1]	21	25.00
>	L[THC1] tel	1
RC[313760105000188]		359	Dist (km)
>	L[313760105000243]	341	0.52
>	L[313760105000243] tel	17
RC[313760105000189]		218	Dist (km)
>	L[313760105000243]	207	0.76
>	L[313760105000243] tel	10
RC[313760105000190]		293	Dist (km)
>	L[313760105000139]	220	1.37
>	L[313760105000139] tel	11
>	L[SHC1]	43	20.00
>	L[SHC1] tel	2
>	L[THC1]	14	25.00
>	L[THC1] tel	0
RC[313760105000191]		360	Dist (km)
>	L[313760105000139]	270	1.32
>	L[313760105000139] tel	13
>	L[SHC1]	54	20.00
>	L[SHC1] tel	2
>	L[THC1]	18	25.00
>	L[THC1] tel	0
RC[313760105000192]		92	Dist (km)
>	L[313760115000023]	69	1.87
>	L[313760115000023] tel	3
>	L[SHC1]	13	20.00
>	L[SHC1] tel	0
>	L[THC1]	4	25.00
>	L[THC1] tel	0
RC[313760105000193]		438	Dist (km)
>	L[313760105000139]	351	1.10
>	L[313760105000139] tel	17
>	L[SHC1]	65	20.00
>	L[SHC1] tel	3
RC[313760105000194]		8	Dist (km)
>	L[313760105000139]	6	1.07
>	L[313760105000139] tel	0
>	L[SHC1]	1	20.00
>	L[SHC1] tel	0
>	L[THC1]	0	25.00
>	L[THC1] tel	0
RC[313760105000195]		79	Dist (km)
>	L[313760105000259]	59	1.89
>	L[313760105000259] tel	2
>	L[SHC1]	11	20.00
>	L[SHC1] tel	0
>	L[THC1]	3	25.00
>	L[THC1] tel	0
RC[313760105000196]		131	Dist (km)
>	L[313760105000259]	98	1.19
>	L[313760105000259] tel	4
>	L[SHC1]	19	20.00
>	L[SHC1] tel	0
>	L[THC1]	6	25.00
>	L[THC1] tel	0
RC[313760105000198]		262	Dist (km)
>	L[313760105000201]	249	0.17
>	L[313760105000201] tel	12
RC[313760105000199]		413	Dist (km)
>	L[313760105000201]	310	0.28
>	L[313760105000201] tel	15
>	L[SHC1]	61	20.00
>	L[SHC1] tel	3
>	L[THC1]	20	25.00
>	L[THC1] tel	1
RC[313760105000200]		250	Dist (km)
>	L[313760105000201]	238	0.40
>	L[313760105000201] tel	11
RC[313760105000201]		293	Dist (km)
>	L[313760105000201]	231	0.00
>	L[SHC1]	43	20.00
>	L[SHC1] tel	2
>	L[THC1]	14	25.00
>	L[THC1] tel	0
RC[313760105000202]		372	Dist (km)
>	L[313760105000201]	279	0.26
>	L[313760105000201] tel	13
>	L[SHC1]	55	20.00
>	L[SHC1] tel	2
>	L[THC1]	18	25.00
>	L[THC1] tel	0
RC[313760105000203]		369	Dist (km)
>	L[313760105000125]	277	0.59
>	L[313760105000125] tel	13
>	L[SHC1]	55	20.00
>	L[SHC1] tel	2
>	L[THC1]	18	25.00
>	L[THC1] tel	0
RC[313760105000204]		311	Dist (km)
>	L[313760105000125]	249	0.78
>	L[313760105000125] tel	12
>	L[SHC1]	46	20.00
>	L[SHC1] tel	2
RC[313760105000205]		142	Dist (km)
>	L[313760105000235]	106	0.94
>	L[313760105000235] tel	5
>	L[SHC1]	21	20.00
>	L[SHC1] tel	1
>	L[THC1]	7	25.00
>	L[THC1] tel	0
RC[313760105000206]		109	Dist (km)
>	L[313760105000235]	82	0.68
>	L[313760105000235] tel	4
>	L[SHC1]	16	20.00
>	L[SHC1] tel	0
>	L[THC1]	5	25.00
>	L[THC1] tel	0
RC[313760105000207]		390	Dist (km)
>	L[313760105000122]	293	0.47
>	L[313760105000122] tel	14
>	L[SHC1]	58	20.00
>	L[SHC1] tel	2
>	L[THC1]	19	25.00
>	L[THC1] tel	0
RC[313760105000208]		405	Dist (km)
>	L[313760105000122]	304	0.26
>	L[313760105000122] tel	15
>	L[SHC1]	60	20.00
>	L[SHC1] tel	3
>	L[THC1]	20	25.00
>	L[THC1] tel	1
RC[313760105000209]		619	Dist (km)
>	L[313760105000139]	465	0.54
>	L[313760105000139] tel	23
>	L[SHC1]	92	20.00
>	L[SHC1] tel	4
>	L[THC1]	30	25.00
>	L[THC1] tel	1
RC[313760105000210]		48	Dist (km)
>	L[313760105000139]	45	0.85
>	L[313760105000139] tel	2
RC[313760105000211]		240	Dist (km)
>	L[313760105000077]	192	0.81
>	L[313760105000077] tel	9
>	L[SHC1]	36	20.00
>	L[SHC1] tel	1
RC[313760105000212]		154	Dist (km)
>	L[313760105000077]	123	0.72
>	L[313760105000077] tel	6
>	L[SHC1]	23	20.00
>	L[SHC1] tel	1
RC[313760105000213]		321	Dist (km)
>	L[313760105000201]	305	0.45
>	L[313760105000201] tel	15
RC[313760105000214]		371	Dist (km)
>	L[313760105000201]	353	0.58
>	L[313760105000201] tel	17
RC[313760105000215]		189	Dist (km)
>	L[313760105000285]	142	1.40
>	L[313760105000285] tel	7
>	L[SHC1]	28	20.00
>	L[SHC1] tel	1
>	L[THC1]	9	25.00
>	L[THC1] tel	0
RC[313760105000216]		178	Dist (km)
>	L[313760105000285]	133	1.29
>	L[313760105000285] tel	6
>	L[SHC1]	26	20.00
>	L[SHC1] tel	1
>	L[THC1]	8	25.00
>	L[THC1] tel	0
RC[313760105000217]		369	Dist (km)
>	L[313760105000177]	351	0.29
>	L[313760105000177] tel	17
RC[313760105000218]		561	Dist (km)
>	L[313760105000122]	534	0.40
>	L[313760105000122] tel	26
RC[313760105000219]		562	Dist (km)
>	L[313760105000135]	450	0.95
>	L[313760105000135] tel	22
>	L[SHC1]	84	20.00
>	L[SHC1] tel	4
RC[313760105000220]		287	Dist (km)
>	L[313760105000045]	227	0.73
>	L[313760105000045] tel	11
>	L[SHC1]	43	20.00
>	L[SHC1] tel	2
>	L[THC1]	2	25.00
>	L[THC1] tel	0
RC[313760105000221]		2	Dist (km)
