#############################################################################
# Project CNPq: Increasing PHC with team sizing
# Author: João Flávio de Freitas Almeida <joao.flavio@dep.ufmg.br>
# LEPOINT: Laboratório de Estudos em Planejamento de Operações Integradas
# Departmento de Engenharia de Produção
# Universidade Federal de Minas Gerais - Escola de Engenharia
#############################################################################
# Health Care Facility Location Problem: Considering fixed facilities, 
# choose intermediate facilities accorting a criteria that improve service
# quality. Consider health care teams. 
#############################################################################
# glpsol -m aps.mod -d LS.dat --cuts

data;

################################################
# BUDGET PARAMETER
param BUDGET :=  19333029.53 ; # Overall budget constraint ($/year)
param I_L1 := 3818078;
################################################


# Health care levels (PHC, SHC, THC)
# Maximal distance for each level
param: K: Dmax :=
1         5000 # PHC: Primary health care (basic care)
2         30000 # SHC: Secondary health care (intermediate care)
3         35000 # THC: Tertiary health care (hospital care)
;


set L[2] := SHC1;
set L[3] := THC1;

# Basic health care units teams (PHC)
set E[1] :=
eSF # Equipe de Saúde da Família
eSB # Equipe de Saúde Bucal
eMulti # Equipe Multi
ACS # Equipe de ACSs
;

# Intermediate health care units teams (SHC)
set E[2] :=
EQ2 # Equipe SHC
;

# Tertiary health care units teams (Hospital)
set E[3] :=
EQ3 # Equipe SHC
;


# EXISTING health care units on three levels
set EL[1] := 
313760105000013
313760105000076
313760105000102
313760105000122
313760105000125
313760105000132
313760105000135
313760105000139
313760105000168
313760105000186
313760105000201
313760105000235
313760105000239
313760105000259
313760105000264
;

set EL[2] := SHC1;
set EL[3] := THC1;



# of type p at demand point i and 
# vulnerability V (the higher vulnerability, the worse)	
# id_setor	populacao	IVS
param: I:       W   IVS:=	
313760105000142	226	0.45
313760105000144	84	0.356
313760105000145	382	0.402
313760105000146	68	0.426
313760105000147	306	0.422
313760105000150	545	0.428
313760105000151	290	0.453
313760105000152	124	0.417
313760105000161	452	0.406
313760105000162	327	0.4
313760105000163	322	0.396
313760105000164	490	0.436
313760105000165	265	0.43
313760105000166	385	0.429
313760105000167	333	0.409
313760105000168	312	0.427
313760105000169	241	0.435
313760105000170	417	0.409
313760105000171	382	0.414
313760105000172	123	0.421
313760105000173	187	0.455
313760105000174	153	0.459
313760105000175	238	0.427
313760105000176	316	0.451
313760105000177	320	0.376
313760105000178	361	0.392
313760105000179	231	0.381
313760105000180	373	0.4
313760105000181	0	.
313760105000182	507	0.397
313760105000183	614	0.437
313760105000184	404	0.455
313760105000185	388	0.438
313760105000186	252	0.429
313760105000187	428	0.447
313760105000188	359	0.395
313760105000189	218	0.414
313760105000190	293	0.399
313760105000191	360	0.402
313760105000192	92	0.406
313760105000193	438	0.427
313760105000194	8	0.658
313760105000195	79	0.421
313760105000196	131	0.399
313760105000198	262	0.471
313760105000199	413	0.421
313760105000200	250	0.443
313760105000201	293	0.433
313760105000202	372	0.418
313760105000203	369	0.419
313760105000204	311	0.411
313760105000205	142	0.42
313760105000206	109	0.429
313760105000207	390	0.416
313760105000208	405	0.426
313760105000209	619	0.4
313760105000210	48	0.429
313760105000211	240	0.441
313760105000212	154	0.42
313760105000213	321	0.377
313760105000214	371	0.412
313760105000215	189	0.418
313760105000216	178	0.419
313760105000217	369	0.412
313760105000218	561	0.394
313760105000219	562	0.409
313760105000220	287	0.419
313760105000221	2	0.658
313760105000222	164	0.42
313760105000223	443	0.396
313760105000224	179	0.402
313760105000225	217	0.406
313760105000226	399	0.401
313760105000227	546	0.281
313760105000228	288	0.404
313760105000229	578	0.4
313760105000230	90	0.402
313760105000231	120	0.425
313760105000232	326	0.41
313760105000233	121	0.441
313760105000234	388	0.434
313760105000235	393	0.398
313760105000236	309	0.42
313760105000237	411	0.404
313760105000238	331	0.415
313760105000239	443	0.407
313760105000240	240	0.411
313760105000241	358	0.412
313760105000242	282	0.444
313760105000243	366	0.432
313760105000244	0	.
313760105000245	111	0.417
313760105000246	174	0.442
313760105000247	148	0.432
313760105000248	320	0.413
313760105000249	177	0.403
313760105000250	152	0.388
313760105000251	165	0.405
313760105000252	348	0.433
313760105000253	330	0.404
313760105000254	206	0.412
313760105000255	302	0.384
313760105000256	133	0.411
313760105000257	184	0.404
313760105000258	303	0.423
313760105000259	423	0.426
313760105000260	227	0.372
313760105000261	271	0.384
313760105000262	356	0.386
313760105000263	3	0.658
313760105000264	324	0.406
313760105000265	329	0.412
313760105000266	305	0.268
313760105000267	264	0.399
313760105000268	399	0.398
313760105000269	424	0.414
313760105000270	343	0.397
313760105000271	326	0.416
313760105000272	427	0.408
313760105000273	402	0.435
313760105000274	341	0.407
313760105000275	344	0.397
313760105000276	486	0.427
313760105000277	145	0.4
313760105000278	656	0.405
313760105000279	346	0.413
313760105000280	331	0.418
313760105000281	151	0.289
313760105000282	329	0.415
313760105000283	478	0.428
313760105000284	64	0.429
313760105000285	181	0.413
313760114000002	133	.
313760114000007	345	.
313760114000008	270	.
313760114000009	23	.
313760114000010	9	.
313760115000001	165	.
313760115000002	92	.
313760115000003	412	.
313760115000005	74	.
313760115000006	4	.
313760115000007	51	.
313760115000008	354	.
313760115000009	279	.
313760115000010	135	.
313760115000011	356	.
313760115000014	182	.
313760115000015	8	.
313760115000018	394	.
313760115000019	43	.
313760115000020	925	.
313760115000021	163	.
313760115000022	243	.
313760115000023	54	.
313760115000024	303	.
313760115000025	334	.
313760115000026	271	.
313760115000027	339	.
313760115000029	122	.
313760115000030	73	.
313760115000031	352	.
313760115000032	340	.
313760115000033	248	.
313760115000034	231	.
;

# # Variable cost of PHC j / patient 
param:	        ITEM1   SIZE	FC1		VC1:=   #   Código UBS (CNES)
313760105000013	1       1	    8	.	#	3137605402034
313760105000076	2       1	    8	.	#	3137602116553
313760105000102	3       2	    9	.	#	3137605324920
313760105000122	4       1	    8	.	#	3137602168332
313760105000125	5       1	    8	.	#	3137605324912
313760105000132	6       1	    8	.	#	3137602116588
313760105000135	7       2	    9	.	#	3137605402417
313760105000139	8       2	    9	.	#	3137602117363
313760105000168	9       1	    8	.	#	3137605324904
313760105000186	10      1	    8	.	#	3137602116537
313760105000201	11      1	    8	.	#	3137602116545
313760105000235	12      1	    8	.	#	3137605402425
313760105000239	13      2	    9	.	#	3137602116561
313760105000259	14      1	    8	.	#	3137604334663
313760105000264	15      1	    8	.	#	3137609342923

313760105000002	16	.	.	.
313760105000003	17	.	.	.
313760105000004	18	.	.	.
313760105000005	19	.	.	.
313760105000007	20	.	.	.
313760105000008	21	.	.	.
313760105000009	22	.	.	.
313760105000010	23	.	.	.
313760105000011	24	.	.	.
313760105000012	25	.	.	.
313760105000015	26	.	.	.
313760105000016	27	.	.	.
313760105000020	28	.	.	.
313760105000021	29	.	.	.
313760105000022	30	.	.	.
313760105000024	31	.	.	.
313760105000026	32	.	.	.
313760105000027	33	.	.	.
313760105000028	34	.	.	.
313760105000029	35	.	.	.
313760105000030	36	.	.	.
313760105000036	37	.	.	.
313760105000037	38	.	.	.
313760105000039	39	.	.	.
313760105000040	40	.	.	.
313760105000043	41	.	.	.
313760105000045	42	.	.	.
313760105000048	43	.	.	.
313760105000050	44	.	.	.
313760105000058	45	.	.	.
313760105000064	46	.	.	.
313760105000066	47	.	.	.
313760105000067	48	.	.	.
313760105000068	49	.	.	.
313760105000069	50	.	.	.
313760105000071	51	.	.	.
313760105000072	52	.	.	.
313760105000074	53	.	.	.
313760105000075	54	.	.	.
313760105000077	55	.	.	.
313760105000078	56	.	.	.
313760105000080	57	.	.	.
313760105000081	58	.	.	.
313760105000082	59	.	.	.
313760105000083	60	.	.	.
313760105000084	61	.	.	.
313760105000085	62	.	.	.
313760105000086	63	.	.	.
313760105000087	64	.	.	.
313760105000088	65	.	.	.
313760105000089	66	.	.	.
313760105000090	67	.	.	.
313760105000091	68	.	.	.
313760105000092	69	.	.	.
313760105000094	70	.	.	.
313760105000095	71	.	.	.
313760105000096	72	.	.	.
313760105000097	73	.	.	.
313760105000098	74	.	.	.
313760105000099	75	.	.	.
313760105000101	76	.	.	.
313760105000103	77	.	.	.
313760105000105	78	.	.	.
313760105000106	79	.	.	.
313760105000108	80	.	.	.
313760105000109	81	.	.	.
313760105000110	82	.	.	.
313760105000112	83	.	.	.
313760105000114	84	.	.	.
313760105000115	85	.	.	.
313760105000118	86	.	.	.
313760105000120	87	.	.	.
313760105000123	88	.	.	.
313760105000124	89	.	.	.
313760105000126	90	.	.	.
313760105000127	91	.	.	.
313760105000128	92	.	.	.
313760105000129	93	.	.	.
313760105000133	94	.	.	.
313760105000134	95	.	.	.
313760105000136	96	.	.	.
313760105000138	97	.	.	.
313760105000140	98	.	.	.
313760105000141	99	.	.	.
313760105000142	100	.	.	.
313760105000144	101	.	.	.
313760105000145	102	.	.	.
313760105000146	103	.	.	.
313760105000147	104	.	.	.
313760105000150	105	.	.	.
313760105000151	106	.	.	.
313760105000152	107	.	.	.
313760105000161	108	.	.	.
313760105000162	109	.	.	.
313760105000163	110	.	.	.
313760105000164	111	.	.	.
313760105000165	112	.	.	.
313760105000166	113	.	.	.
313760105000167	114	.	.	.
313760105000169	115	.	.	.
313760105000170	116	.	.	.
313760105000171	117	.	.	.
313760105000172	118	.	.	.
313760105000173	119	.	.	.
313760105000174	120	.	.	.
313760105000175	121	.	.	.
313760105000176	122	.	.	.
313760105000177	123	.	.	.
313760105000178	124	.	.	.
313760105000179	125	.	.	.
313760105000180	126	.	.	.
313760105000181	127	.	.	.
313760105000182	128	.	.	.
313760105000183	129	.	.	.
313760105000184	130	.	.	.
313760105000185	131	.	.	.
313760105000187	132	.	.	.
313760105000188	133	.	.	.
313760105000189	134	.	.	.
313760105000190	135	.	.	.
313760105000191	136	.	.	.
313760105000192	137	.	.	.
313760105000193	138	.	.	.
313760105000194	139	.	.	.
313760105000195	140	.	.	.
313760105000196	141	.	.	.
313760105000198	142	.	.	.
313760105000199	143	.	.	.
313760105000200	144	.	.	.
313760105000202	145	.	.	.
313760105000203	146	.	.	.
313760105000204	147	.	.	.
313760105000205	148	.	.	.
313760105000206	149	.	.	.
313760105000207	150	.	.	.
313760105000208	151	.	.	.
313760105000209	152	.	.	.
313760105000210	153	.	.	.
313760105000211	154	.	.	.
313760105000212	155	.	.	.
313760105000213	156	.	.	.
313760105000214	157	.	.	.
313760105000215	158	.	.	.
313760105000216	159	.	.	.
313760105000217	160	.	.	.
313760105000218	161	.	.	.
313760105000219	162	.	.	.
313760105000220	163	.	.	.
313760105000221	164	.	.	.
313760105000222	165	.	.	.
313760105000223	166	.	.	.
313760105000224	167	.	.	.
313760105000225	168	.	.	.
313760105000226	169	.	.	.
313760105000227	170	.	.	.
313760105000228	171	.	.	.
313760105000229	172	.	.	.
313760105000230	173	.	.	.
313760105000231	174	.	.	.
313760105000232	175	.	.	.
313760105000233	176	.	.	.
313760105000234	177	.	.	.
313760105000236	178	.	.	.
313760105000237	179	.	.	.
313760105000238	180	.	.	.
313760105000240	181	.	.	.
313760105000241	182	.	.	.
313760105000242	183	.	.	.
313760105000243	184	.	.	.
313760105000244	185	.	.	.
313760105000245	186	.	.	.
313760105000246	187	.	.	.
313760105000247	188	.	.	.
313760105000248	189	.	.	.
313760105000249	190	.	.	.
313760105000250	191	.	.	.
313760105000251	192	.	.	.
313760105000252	193	.	.	.
313760105000253	194	.	.	.
313760105000254	195	.	.	.
313760105000255	196	.	.	.
313760105000256	197	.	.	.
313760105000257	198	.	.	.
313760105000258	199	.	.	.
313760105000260	200	.	.	.
313760105000261	201	.	.	.
313760105000262	202	.	.	.
313760105000263	203	.	.	.
313760105000265	204	.	.	.
313760105000266	205	.	.	.
313760105000267	206	.	.	.
313760105000268	207	.	.	.
313760105000269	208	.	.	.
313760105000270	209	.	.	.
313760105000271	210	.	.	.
313760105000272	211	.	.	.
313760105000273	212	.	.	.
313760105000274	213	.	.	.
313760105000275	214	.	.	.
313760105000276	215	.	.	.
313760105000277	216	.	.	.
313760105000278	217	.	.	.
313760105000279	218	.	.	.
313760105000280	219	.	.	.
313760105000281	220	.	.	.
313760105000282	221	.	.	.
313760105000283	222	.	.	.
313760105000284	223	.	.	.
313760105000285	224	.	.	.
313760114000002	225	.	.	.
313760114000007	226	.	.	.
313760114000008	227	.	.	.
313760114000009	228	.	.	.
313760114000010	229	.	.	.
313760115000001	230	.	.	.
313760115000002	231	.	.	.
313760115000003	232	.	.	.
313760115000005	233	.	.	.
313760115000006	234	.	.	.
313760115000007	235	.	.	.
313760115000008	236	.	.	.
313760115000009	237	.	.	.
313760115000010	238	.	.	.
313760115000011	239	.	.	.
313760115000014	240	.	.	.
313760115000015	241	.	.	.
313760115000018	242	.	.	.
313760115000019	243	.	.	.
313760115000020	244	.	.	.
313760115000021	245	.	.	.
313760115000022	246	.	.	.
313760115000023	247	.	.	.
313760115000024	248	.	.	.
313760115000025	249	.	.	.
313760115000026	250	.	.	.
313760115000027	251	.	.	.
313760115000029	252	.	.	.
313760115000030	253	.	.	.
313760115000031	254	.	.	.
313760115000032	255	.	.	.
313760115000033	256	.	.	.
313760115000034	257	.	.	.
;

param:	ITEM2   FC2		VC2:=	
SHC1	1       2		10
;

param:	ITEM3   FC3		VC3:=	
THC1	1       3		20
;


# Team cost K1 ($/year)
# 		Folha mensal	Encargos	Insumos	Transporte	Supervisão
# eSF	 R$ 1.455.500.00 	50000	45000	7500	3500	5000
# eSB	 R$ 640.420.00 	22000	19800	3300	1540	2200
# eMulti (1/9)	 R$ 611.595.56 	92000	82800	13800	6440	9200
# Fonte: Planilha APS_dados.xlsx
param CE1:=
eSF     288000
eSB     105248
eMulti  322625
ACS      36280
;

# Team cost K2 ($/year)
param CE2:=
EQ2 0
;

# Team cost K3 ($/year)
param CE3:=
EQ3 0
;

################################################
param D0_2:=
313760105000002	SHC1	20000
313760105000003	SHC1	20000
313760105000004	SHC1	20000
313760105000005	SHC1	20000
313760105000007	SHC1	20000
313760105000008	SHC1	20000
313760105000009	SHC1	20000
313760105000010	SHC1	20000
313760105000011	SHC1	20000
313760105000012	SHC1	20000
313760105000013	SHC1	20000
313760105000015	SHC1	20000
313760105000016	SHC1	20000
313760105000020	SHC1	20000
313760105000021	SHC1	20000
313760105000022	SHC1	20000
313760105000024	SHC1	20000
313760105000026	SHC1	20000
313760105000027	SHC1	20000
313760105000028	SHC1	20000
313760105000029	SHC1	20000
313760105000030	SHC1	20000
313760105000036	SHC1	20000
313760105000037	SHC1	20000
313760105000039	SHC1	20000
313760105000040	SHC1	20000
313760105000043	SHC1	20000
313760105000045	SHC1	20000
313760105000048	SHC1	20000
313760105000050	SHC1	20000
313760105000058	SHC1	20000
313760105000064	SHC1	20000
313760105000066	SHC1	20000
313760105000067	SHC1	20000
313760105000068	SHC1	20000
313760105000069	SHC1	20000
313760105000071	SHC1	20000
313760105000072	SHC1	20000
313760105000074	SHC1	20000
313760105000075	SHC1	20000
313760105000076	SHC1	20000
313760105000077	SHC1	20000
313760105000078	SHC1	20000
313760105000080	SHC1	20000
313760105000081	SHC1	20000
313760105000082	SHC1	20000
313760105000083	SHC1	20000
313760105000084	SHC1	20000
313760105000085	SHC1	20000
313760105000086	SHC1	20000
313760105000087	SHC1	20000
313760105000088	SHC1	20000
313760105000089	SHC1	20000
313760105000090	SHC1	20000
313760105000091	SHC1	20000
313760105000092	SHC1	20000
313760105000094	SHC1	20000
313760105000095	SHC1	20000
313760105000096	SHC1	20000
313760105000097	SHC1	20000
313760105000098	SHC1	20000
313760105000099	SHC1	20000
313760105000101	SHC1	20000
313760105000102	SHC1	20000
313760105000103	SHC1	20000
313760105000105	SHC1	20000
313760105000106	SHC1	20000
313760105000108	SHC1	20000
313760105000109	SHC1	20000
313760105000110	SHC1	20000
313760105000112	SHC1	20000
313760105000114	SHC1	20000
313760105000115	SHC1	20000
313760105000118	SHC1	20000
313760105000120	SHC1	20000
313760105000122	SHC1	20000
313760105000123	SHC1	20000
313760105000124	SHC1	20000
313760105000125	SHC1	20000
313760105000126	SHC1	20000
313760105000127	SHC1	20000
313760105000128	SHC1	20000
313760105000129	SHC1	20000
313760105000132	SHC1	20000
313760105000133	SHC1	20000
313760105000134	SHC1	20000
313760105000135	SHC1	20000
313760105000136	SHC1	20000
313760105000138	SHC1	20000
313760105000139	SHC1	20000
313760105000140	SHC1	20000
313760105000141	SHC1	20000
313760105000142	SHC1	20000
313760105000144	SHC1	20000
313760105000145	SHC1	20000
313760105000146	SHC1	20000
313760105000147	SHC1	20000
313760105000150	SHC1	20000
313760105000151	SHC1	20000
313760105000152	SHC1	20000
313760105000161	SHC1	20000
313760105000162	SHC1	20000
313760105000163	SHC1	20000
313760105000164	SHC1	20000
313760105000165	SHC1	20000
313760105000166	SHC1	20000
313760105000167	SHC1	20000
313760105000168	SHC1	20000
313760105000169	SHC1	20000
313760105000170	SHC1	20000
313760105000171	SHC1	20000
313760105000172	SHC1	20000
313760105000173	SHC1	20000
313760105000174	SHC1	20000
313760105000175	SHC1	20000
313760105000176	SHC1	20000
313760105000177	SHC1	20000
313760105000178	SHC1	20000
313760105000179	SHC1	20000
313760105000180	SHC1	20000
313760105000181	SHC1	20000
313760105000182	SHC1	20000
313760105000183	SHC1	20000
313760105000184	SHC1	20000
313760105000185	SHC1	20000
313760105000186	SHC1	20000
313760105000187	SHC1	20000
313760105000188	SHC1	20000
313760105000189	SHC1	20000
313760105000190	SHC1	20000
313760105000191	SHC1	20000
313760105000192	SHC1	20000
313760105000193	SHC1	20000
313760105000194	SHC1	20000
313760105000195	SHC1	20000
313760105000196	SHC1	20000
313760105000198	SHC1	20000
313760105000199	SHC1	20000
313760105000200	SHC1	20000
313760105000201	SHC1	20000
313760105000202	SHC1	20000
313760105000203	SHC1	20000
313760105000204	SHC1	20000
313760105000205	SHC1	20000
313760105000206	SHC1	20000
313760105000207	SHC1	20000
313760105000208	SHC1	20000
313760105000209	SHC1	20000
313760105000210	SHC1	20000
313760105000211	SHC1	20000
313760105000212	SHC1	20000
313760105000213	SHC1	20000
313760105000214	SHC1	20000
313760105000215	SHC1	20000
313760105000216	SHC1	20000
313760105000217	SHC1	20000
313760105000218	SHC1	20000
313760105000219	SHC1	20000
313760105000220	SHC1	20000
313760105000221	SHC1	20000
313760105000222	SHC1	20000
313760105000223	SHC1	20000
313760105000224	SHC1	20000
313760105000225	SHC1	20000
313760105000226	SHC1	20000
313760105000227	SHC1	20000
313760105000228	SHC1	20000
313760105000229	SHC1	20000
313760105000230	SHC1	20000
313760105000231	SHC1	20000
313760105000232	SHC1	20000
313760105000233	SHC1	20000
313760105000234	SHC1	20000
313760105000235	SHC1	20000
313760105000236	SHC1	20000
313760105000237	SHC1	20000
313760105000238	SHC1	20000
313760105000239	SHC1	20000
313760105000240	SHC1	20000
313760105000241	SHC1	20000
313760105000242	SHC1	20000
313760105000243	SHC1	20000
313760105000244	SHC1	20000
313760105000245	SHC1	20000
313760105000246	SHC1	20000
313760105000247	SHC1	20000
313760105000248	SHC1	20000
313760105000249	SHC1	20000
313760105000250	SHC1	20000
313760105000251	SHC1	20000
313760105000252	SHC1	20000
313760105000253	SHC1	20000
313760105000254	SHC1	20000
313760105000255	SHC1	20000
313760105000256	SHC1	20000
313760105000257	SHC1	20000
313760105000258	SHC1	20000
313760105000259	SHC1	20000
313760105000260	SHC1	20000
313760105000261	SHC1	20000
313760105000262	SHC1	20000
313760105000263	SHC1	20000
313760105000264	SHC1	20000
313760105000265	SHC1	20000
313760105000266	SHC1	20000
313760105000267	SHC1	20000
313760105000268	SHC1	20000
313760105000269	SHC1	20000
313760105000270	SHC1	20000
313760105000271	SHC1	20000
313760105000272	SHC1	20000
313760105000273	SHC1	20000
313760105000274	SHC1	20000
313760105000275	SHC1	20000
313760105000276	SHC1	20000
313760105000277	SHC1	20000
313760105000278	SHC1	20000
313760105000279	SHC1	20000
313760105000280	SHC1	20000
313760105000281	SHC1	20000
313760105000282	SHC1	20000
313760105000283	SHC1	20000
313760105000284	SHC1	20000
313760105000285	SHC1	20000
313760114000002	SHC1	20000
313760114000007	SHC1	20000
313760114000008	SHC1	20000
313760114000009	SHC1	20000
313760114000010	SHC1	20000
313760115000001	SHC1	20000
313760115000002	SHC1	20000
313760115000003	SHC1	20000
313760115000005	SHC1	20000
313760115000006	SHC1	20000
313760115000007	SHC1	20000
313760115000008	SHC1	20000
313760115000009	SHC1	20000
313760115000010	SHC1	20000
313760115000011	SHC1	20000
313760115000014	SHC1	20000
313760115000015	SHC1	20000
313760115000018	SHC1	20000
313760115000019	SHC1	20000
313760115000020	SHC1	20000
313760115000021	SHC1	20000
313760115000022	SHC1	20000
313760115000023	SHC1	20000
313760115000024	SHC1	20000
313760115000025	SHC1	20000
313760115000026	SHC1	20000
313760115000027	SHC1	20000
313760115000029	SHC1	20000
313760115000030	SHC1	20000
313760115000031	SHC1	20000
313760115000032	SHC1	20000
313760115000033	SHC1	20000
313760115000034	SHC1	20000
;



param D0_3:=
313760105000002	THC1	25000
313760105000003	THC1	25000
313760105000004	THC1	25000
313760105000005	THC1	25000
313760105000007	THC1	25000
313760105000008	THC1	25000
313760105000009	THC1	25000
313760105000010	THC1	25000
313760105000011	THC1	25000
313760105000012	THC1	25000
313760105000013	THC1	25000
313760105000015	THC1	25000
313760105000016	THC1	25000
313760105000020	THC1	25000
313760105000021	THC1	25000
313760105000022	THC1	25000
313760105000024	THC1	25000
313760105000026	THC1	25000
313760105000027	THC1	25000
313760105000028	THC1	25000
313760105000029	THC1	25000
313760105000030	THC1	25000
313760105000036	THC1	25000
313760105000037	THC1	25000
313760105000039	THC1	25000
313760105000040	THC1	25000
313760105000043	THC1	25000
313760105000045	THC1	25000
313760105000048	THC1	25000
313760105000050	THC1	25000
313760105000058	THC1	25000
313760105000064	THC1	25000
313760105000066	THC1	25000
313760105000067	THC1	25000
313760105000068	THC1	25000
313760105000069	THC1	25000
313760105000071	THC1	25000
313760105000072	THC1	25000
313760105000074	THC1	25000
313760105000075	THC1	25000
313760105000076	THC1	25000
313760105000077	THC1	25000
313760105000078	THC1	25000
313760105000080	THC1	25000
313760105000081	THC1	25000
313760105000082	THC1	25000
313760105000083	THC1	25000
313760105000084	THC1	25000
313760105000085	THC1	25000
313760105000086	THC1	25000
313760105000087	THC1	25000
313760105000088	THC1	25000
313760105000089	THC1	25000
313760105000090	THC1	25000
313760105000091	THC1	25000
313760105000092	THC1	25000
313760105000094	THC1	25000
313760105000095	THC1	25000
313760105000096	THC1	25000
313760105000097	THC1	25000
313760105000098	THC1	25000
313760105000099	THC1	25000
313760105000101	THC1	25000
313760105000102	THC1	25000
313760105000103	THC1	25000
313760105000105	THC1	25000
313760105000106	THC1	25000
313760105000108	THC1	25000
313760105000109	THC1	25000
313760105000110	THC1	25000
313760105000112	THC1	25000
313760105000114	THC1	25000
313760105000115	THC1	25000
313760105000118	THC1	25000
313760105000120	THC1	25000
313760105000122	THC1	25000
313760105000123	THC1	25000
313760105000124	THC1	25000
313760105000125	THC1	25000
313760105000126	THC1	25000
313760105000127	THC1	25000
313760105000128	THC1	25000
313760105000129	THC1	25000
313760105000132	THC1	25000
313760105000133	THC1	25000
313760105000134	THC1	25000
313760105000135	THC1	25000
313760105000136	THC1	25000
313760105000138	THC1	25000
313760105000139	THC1	25000
313760105000140	THC1	25000
313760105000141	THC1	25000
313760105000142	THC1	25000
313760105000144	THC1	25000
313760105000145	THC1	25000
313760105000146	THC1	25000
313760105000147	THC1	25000
313760105000150	THC1	25000
313760105000151	THC1	25000
313760105000152	THC1	25000
313760105000161	THC1	25000
313760105000162	THC1	25000
313760105000163	THC1	25000
313760105000164	THC1	25000
313760105000165	THC1	25000
313760105000166	THC1	25000
313760105000167	THC1	25000
313760105000168	THC1	25000
313760105000169	THC1	25000
313760105000170	THC1	25000
313760105000171	THC1	25000
313760105000172	THC1	25000
313760105000173	THC1	25000
313760105000174	THC1	25000
313760105000175	THC1	25000
313760105000176	THC1	25000
313760105000177	THC1	25000
313760105000178	THC1	25000
313760105000179	THC1	25000
313760105000180	THC1	25000
313760105000181	THC1	25000
313760105000182	THC1	25000
