#############################################################################
# Project CNPq: Increasing PHC with team sizing
# Author: João Flávio de Freitas Almeida <joao.flavio@dep.ufmg.br>
# LEPOINT: Laboratório de Estudos em Planejamento de Operações Integradas
# Departamento de Engenharia de Produção
# Universidade Federal de Minas Gerais - Escola de Engenharia
#############################################################################
# Health Care Facility Location Problem: Considering fixed facilities,
# choose intermediate facilities according a criteria that improve service
# quality. Consider health care teams.
#############################################################################
# glpsol -m aps.mod -d LS.dat --cuts

#############################################################################
# DADOS REFERENTES AO MUNICIPIO DE: 
# Lagoa Santa 
#############################################################################
data;
param BUDGET := 164300000; # Overall budget constraint ($/year)
param I_L1 := 3818078;
param: K: Dmax :=
1         5000 # PHC: Primary health care (basic care)
2         30000 # SHC: Secondary health care (intermediate care)
3         35000 # THC: Tertiary health care (hospital care)
;
set L[2] := SHC1;
set L[3] := THC1;
# Basic health care units teams (PHC)
set E[1] :=
313760105000095 295 0.4352760891717032 
313760105000096 180 0.4195872627007833 
313760105000097 179 0.43425311903181774 
313760105000098 193 0.4525532997702567 
313760105000099 467 0.40166978102810036 
313760105000101 37 0.3996345058003556 
313760105000102 1106 0.41036587046750367 
313760105000103 301 0.4200227404321404 
313760105000105 585 0.39480948510107117 
313760105000106 773 0.4160373153903327 
313760105000108 166 0.439144203779552 
313760105000109 397 0.4183313313100908 
313760105000110 359 0.4414151542517314 
313760105000112 86 0.4457383911012943 
313760105000114 11 0.6579955391006775 
313760105000118 301 0.40745472858665926 
313760105000120 330 0.39219414892897814 
313760105000122 378 0.39767463836164024 
313760105000123 99 0.4467362019835283 
313760105000124 206 0.4237862524591891 
313760105000125 124 0.42456937560356933 
313760105000126 178 0.41050083251374087 
313760105000127 425 0.43483128627646933 
313760105000128 773 0.40670444195522903 
313760105000129 378 0.40389282816158784 
313760105000132 336 0.43400785869108477 
313760105000133 493 0.40480627416668546 
313760105000134 253 0.41963629187630885 
313760105000135 340 0.4356903918316339 
313760105000136 302 0.40615138532199574 
313760105000138 554 0.39291758278937533 
313760105000139 324 0.3885665559526425 
313760105000140 527 0.4247198640482553 
313760105000141 200 0.4236996848478502 
313760105000142 226 0.44951386428933837 
313760105000144 84 0.3556667413998349 
313760105000145 382 0.40155082836538253 
313760105000146 68 0.42558835252489724 
313760105000147 306 0.4222340729369016 
313760105000150 545 0.4280258897613867 
313760105000151 290 0.45335834063992136 
313760105000152 124 0.41712097981818536 
313760105000161 452 0.4061208219006821 
313760105000162 327 0.399602222992587 
313760105000163 322 0.39592675005870637 
313760105000164 490 0.43588948656553994 
313760105000165 265 0.430125493076112 
313760105000166 385 0.42905402364081213 
313760105000167 333 0.4086480811215564 
313760105000168 312 0.42682473977338925 
313760105000169 241 0.4351102936511722 
313760105000170 417 0.40892415756319345 
313760105000171 382 0.4141443766259705 
313760105000172 123 0.42070486967407544 
313760105000173 187 0.4549578411021302 
313760105000174 153 0.4586967663605739 
313760105000175 238 0.42745369728433064 
313760105000176 316 0.451387299413549 
313760105000177 320 0.375668470286957 
313760105000178 361 0.3917492359768617 
313760105000179 231 0.38071941192511916 
313760105000180 373 0.4004742170491331 
313760105000182 507 0.3968335536879825 
313760105000183 614 0.4367554558977865 
313760105000184 404 0.45540817804819156 
313760105000185 388 0.43775372192377265 
313760105000186 252 0.42926335683524375 
313760105000187 428 0.4466385883952726 
313760105000188 359 0.3947589027050026 
313760105000189 218 0.4140519673122107 
313760105000190 293 0.39908346348928764 
313760105000191 360 0.40229481243618387 
313760105000192 92 0.40591126996178295 
313760105000193 438 0.42708953749562384 
313760105000194 8 0.6579955391006775 
313760105000195 79 0.4206045571817837 
313760105000196 131 0.399319277701703 
313760105000198 262 0.47073567647701164 
313760105000199 413 0.42090523581699707 
313760105000200 250 0.4433348936725597 
313760105000201 293 0.4333909242013312 
313760105000202 372 0.4177483826810875 
313760105000203 369 0.4193243011830055 
313760105000204 311 0.41059098081799844 
313760105000205 142 0.41973584718622636 
313760105000206 109 0.4294579655393118 
313760105000207 390 0.4159144065612452 
313760105000208 405 0.42603845296356463 
313760105000209 619 0.39981738758470525 
313760105000210 48 0.4286917081874035 
313760105000211 240 0.44063444144086616 
313760105000212 154 0.4201894797273493 
313760105000213 321 0.3772147515265849 
313760105000214 371 0.4119145295310348 
313760105000215 189 0.4176101443801972 
313760105000216 178 0.4188910708484138 
313760105000217 369 0.41212894471090417 
313760105000218 561 0.39370058503537536 
313760105000219 562 0.40947400263946504 
313760105000220 287 0.41907781280997963 
313760105000221 X 0.6579955391006775 
313760105000222 164 0.4202983088691675 
313760105000223 443 0.39577451107812983 
313760105000224 179 0.40214301283399445 
313760105000225 217 0.4058615008207887 
313760105000226 399 0.40103964687037025 
313760105000227 546 0.28072562444698074 
313760105000228 288 0.40427696220072806 
313760105000229 578 0.40030053592780585 
313760105000230 90 0.4016371810706791 
313760105000231 120 0.425152143170798 
313760105000232 326 0.40993928930157875 
313760105000233 121 0.44101714039990697 
313760105000234 388 0.43389684215457186 
313760105000235 393 0.3979491751222198 
313760105000236 309 0.4203272510535317 
313760105000237 411 0.4039264917234949 
313760105000238 331 0.41531393197375077 
313760105000239 443 0.4070230844659328 
313760105000240 240 0.41112052516894526 
313760105000241 358 0.412489537419551 
313760105000242 282 0.44425285971040096 
313760105000243 366 0.4315381856092851 
313760105000245 111 0.4170681741482866 
313760105000246 174 0.4423720137026448 
313760105000247 148 0.43235846708348624 
313760105000248 320 0.41264665579874704 
313760105000249 177 0.40345659542063866 
313760105000250 152 0.38811603851712795 
313760105000251 165 0.40545543522609384 
313760105000252 348 0.43290602769422926 
313760105000253 330 0.40430218038145616 
313760105000254 206 0.4116914142953265 
313760105000255 302 0.38411479649748387 
313760105000256 133 0.4113806493834103 
313760105000257 184 0.4042136921566445 
313760105000258 303 0.42303902330631904 
313760105000259 423 0.4264731406882628 
313760105000260 227 0.371762112075522 
313760105000261 271 0.3841070840732828 
313760105000262 356 0.3863378980464542 
313760105000263 X 0.6579955391006775 
313760105000264 324 0.40643622056945705 
313760105000265 329 0.4123311028836721 
313760105000266 305 0.26827848656688413 
313760105000267 264 0.39869124485875357 
313760105000268 399 0.3982435210192059 
313760105000269 424 0.41363504544976604 
313760105000270 343 0.3967379479661737 
313760105000271 326 0.41621385577462633 
313760105000272 427 0.40798565494024336 
313760105000273 402 0.4353715462535397 
313760105000274 341 0.40747385674119657 
313760105000275 344 0.3974622099294428 
313760105000276 486 0.4273792772770599 
313760105000277 145 0.39953636458568864 
313760105000278 656 0.40488771068543333 
313760105000279 346 0.41313636879955884 
313760105000280 331 0.4184594940698785 
313760105000281 151 0.2892790510409985 
313760105000282 329 0.41541857231361456 
313760105000283 478 0.42830332499690665 
313760105000284 64 0.4290568943450773 
313760105000285 181 0.4128981411642385 
;

# # Variable cost of PHC j / patient
param:	        ITEM1   SIZE	FC1		VC1:=
313760105000013 1 1 80000 . 
313760105000076 2 1 80000 . 
313760105000102 3 1 80000 . 
313760105000125 4 1 80000 . 
313760105000132 5 1 80000 . 
313760105000135 6 1 80000 . 
313760105000139 7 1 80000 . 
313760105000168 8 1 80000 . 
313760105000186 9 1 80000 . 
313760105000201 10 1 80000 . 
313760105000235 11 1 80000 . 
313760105000239 12 1 80000 . 
313760105000259 13 1 80000 . 
313760105000264 14 1 80000 . 
;

param:	ITEM2   FC2		VC2:=
SHC1	1       200000		10
;

param:	ITEM3   FC3		VC3:=
THC1	1       300000		20
;

# Team cost K1 ($/year)
# 		Folha mensal	Encargos	Insumos	Transporte	Supervisão
# eSF	 R$ 1.455.500.00 	50000	45000	7500	3500	5000
# eSB	 R$ 640.420.00 	22000	19800	3300	1540	2200
# eMulti (1/9)	 R$ 611.595.56 	92000	82800	13800	6440	9200
# Fonte: Planilha APS_dados.xlsx
param CE1:=
eSF 1455500 
eSB 640420 
eMulti 640420 
;

# Team cost K2 ($/year)
param CE2:=
EQ2 0 
;

# Team cost K3 ($/year)
param CE3:=
EQ3 0 
;

param D0_2:=
313760105000002 SHC1 20000 
313760105000003 SHC1 20000 
313760105000005 SHC1 20000 
313760105000007 SHC1 20000 
313760105000008 SHC1 20000 
313760105000009 SHC1 20000 
313760105000010 SHC1 20000 
313760105000011 SHC1 20000 
313760105000012 SHC1 20000 
313760105000013 SHC1 20000 
313760105000015 SHC1 20000 
313760105000016 SHC1 20000 
313760105000020 SHC1 20000 
313760105000021 SHC1 20000 
313760105000022 SHC1 20000 
313760105000024 SHC1 20000 
313760105000026 SHC1 20000 
313760105000027 SHC1 20000 
313760105000028 SHC1 20000 
313760105000029 SHC1 20000 
313760105000030 SHC1 20000 
313760105000036 SHC1 20000 
313760105000037 SHC1 20000 
313760105000039 SHC1 20000 
313760105000040 SHC1 20000 
313760105000043 SHC1 20000 
313760105000045 SHC1 20000 
313760105000048 SHC1 20000 
313760105000050 SHC1 20000 
313760105000058 SHC1 20000 
313760105000064 SHC1 20000 
313760105000066 SHC1 20000 
313760105000067 SHC1 20000 
313760105000068 SHC1 20000 
313760105000069 SHC1 20000 
313760105000071 SHC1 20000 
313760105000072 SHC1 20000 
313760105000074 SHC1 20000 
313760105000075 SHC1 20000 
313760105000076 SHC1 20000 
313760105000077 SHC1 20000 
313760105000078 SHC1 20000 
313760105000080 SHC1 20000 
313760105000081 SHC1 20000 
313760105000082 SHC1 20000 
313760105000083 SHC1 20000 
313760105000084 SHC1 20000 
313760105000085 SHC1 20000 
313760105000086 SHC1 20000 
313760105000087 SHC1 20000 
313760105000088 SHC1 20000 
313760105000089 SHC1 20000 
313760105000090 SHC1 20000 
313760105000091 SHC1 20000 
313760105000092 SHC1 20000 
313760105000094 SHC1 20000 
313760105000095 SHC1 20000 
313760105000096 SHC1 20000 
313760105000097 SHC1 20000 
313760105000098 SHC1 20000 
313760105000099 SHC1 20000 
313760105000101 SHC1 20000 
313760105000102 SHC1 20000 
313760105000103 SHC1 20000 
313760105000105 SHC1 20000 
313760105000106 SHC1 20000 
313760105000108 SHC1 20000 
313760105000109 SHC1 20000 
313760105000110 SHC1 20000 
313760105000112 SHC1 20000 
313760105000114 SHC1 20000 
313760105000118 SHC1 20000 
313760105000120 SHC1 20000 
313760105000122 SHC1 20000 
313760105000123 SHC1 20000 
313760105000124 SHC1 20000 
313760105000125 SHC1 20000 
313760105000126 SHC1 20000 
313760105000127 SHC1 20000 
313760105000128 SHC1 20000 
313760105000129 SHC1 20000 
313760105000132 SHC1 20000 
313760105000133 SHC1 20000 
313760105000134 SHC1 20000 
313760105000135 SHC1 20000 
313760105000136 SHC1 20000 
313760105000138 SHC1 20000 
313760105000139 SHC1 20000 
313760105000140 SHC1 20000 
313760105000141 SHC1 20000 
313760105000142 SHC1 20000 
313760105000144 SHC1 20000 
313760105000145 SHC1 20000 
313760105000146 SHC1 20000 
313760105000147 SHC1 20000 
313760105000150 SHC1 20000 
313760105000151 SHC1 20000 
313760105000152 SHC1 20000 
313760105000161 SHC1 20000 
313760105000162 SHC1 20000 
313760105000163 SHC1 20000 
313760105000164 SHC1 20000 
313760105000165 SHC1 20000 
313760105000166 SHC1 20000 
313760105000167 SHC1 20000 
313760105000168 SHC1 20000 
313760105000169 SHC1 20000 
313760105000170 SHC1 20000 
313760105000171 SHC1 20000 
313760105000172 SHC1 20000 
313760105000173 SHC1 20000 
313760105000174 SHC1 20000 
313760105000175 SHC1 20000 
313760105000176 SHC1 20000 
313760105000177 SHC1 20000 
313760105000178 SHC1 20000 
313760105000179 SHC1 20000 
313760105000180 SHC1 20000 
313760105000182 SHC1 20000 
313760105000183 SHC1 20000 
313760105000184 SHC1 20000 
313760105000185 SHC1 20000 
313760105000186 SHC1 20000 
313760105000187 SHC1 20000 
313760105000188 SHC1 20000 
313760105000189 SHC1 20000 
313760105000190 SHC1 20000 
313760105000191 SHC1 20000 
313760105000192 SHC1 20000 
313760105000193 SHC1 20000 
313760105000194 SHC1 20000 
313760105000195 SHC1 20000 
313760105000196 SHC1 20000 
313760105000198 SHC1 20000 
313760105000199 SHC1 20000 
313760105000200 SHC1 20000 
313760105000201 SHC1 20000 
313760105000202 SHC1 20000 
313760105000203 SHC1 20000 
313760105000204 SHC1 20000 
313760105000205 SHC1 20000 
313760105000206 SHC1 20000 
313760105000207 SHC1 20000 
313760105000208 SHC1 20000 
313760105000209 SHC1 20000 
313760105000210 SHC1 20000 
313760105000211 SHC1 20000 
313760105000212 SHC1 20000 
313760105000213 SHC1 20000 
313760105000214 SHC1 20000 
313760105000215 SHC1 20000 
313760105000216 SHC1 20000 
313760105000217 SHC1 20000 
313760105000218 SHC1 20000 
313760105000219 SHC1 20000 
313760105000220 SHC1 20000 
313760105000221 SHC1 20000 
313760105000222 SHC1 20000 
313760105000223 SHC1 20000 
313760105000224 SHC1 20000 
313760105000225 SHC1 20000 
313760105000226 SHC1 20000 
313760105000227 SHC1 20000 
313760105000228 SHC1 20000 
313760105000229 SHC1 20000 
313760105000230 SHC1 20000 
313760105000231 SHC1 20000 
313760105000232 SHC1 20000 
313760105000233 SHC1 20000 
313760105000234 SHC1 20000 
313760105000235 SHC1 20000 
313760105000236 SHC1 20000 
313760105000237 SHC1 20000 
313760105000238 SHC1 20000 
313760105000239 SHC1 20000 
313760105000240 SHC1 20000 
313760105000241 SHC1 20000 
313760105000242 SHC1 20000 
313760105000243 SHC1 20000 
313760105000245 SHC1 20000 
313760105000246 SHC1 20000 
313760105000247 SHC1 20000 
313760105000248 SHC1 20000 
313760105000249 SHC1 20000 
313760105000250 SHC1 20000 
313760105000251 SHC1 20000 
313760105000252 SHC1 20000 
313760105000253 SHC1 20000 
313760105000254 SHC1 20000 
313760105000255 SHC1 20000 
313760105000256 SHC1 20000 
313760105000257 SHC1 20000 
313760105000258 SHC1 20000 
313760105000259 SHC1 20000 
313760105000260 SHC1 20000 
313760105000261 SHC1 20000 
313760105000262 SHC1 20000 
313760105000263 SHC1 20000 
313760105000264 SHC1 20000 
313760105000265 SHC1 20000 
313760105000266 SHC1 20000 
313760105000267 SHC1 20000 
313760105000268 SHC1 20000 
313760105000269 SHC1 20000 
313760105000270 SHC1 20000 
313760105000271 SHC1 20000 
313760105000272 SHC1 20000 
313760105000273 SHC1 20000 
313760105000274 SHC1 20000 
313760105000275 SHC1 20000 
313760105000276 SHC1 20000 
313760105000277 SHC1 20000 
313760105000278 SHC1 20000 
313760105000279 SHC1 20000 
313760105000280 SHC1 20000 
313760105000281 SHC1 20000 
313760105000282 SHC1 20000 
313760105000283 SHC1 20000 
313760105000284 SHC1 20000 
313760105000285 SHC1 20000 
;

param D0_3:=
313760105000002 THC1 25000 
313760105000003 THC1 25000 
313760105000005 THC1 25000 
313760105000007 THC1 25000 
313760105000008 THC1 25000 
313760105000009 THC1 25000 
313760105000010 THC1 25000 
313760105000011 THC1 25000 
313760105000012 THC1 25000 
313760105000013 THC1 25000 
313760105000015 THC1 25000 
313760105000016 THC1 25000 
313760105000020 THC1 25000 
313760105000021 THC1 25000 
313760105000022 THC1 25000 
313760105000024 THC1 25000 
313760105000026 THC1 25000 
313760105000027 THC1 25000 
313760105000028 THC1 25000 
313760105000029 THC1 25000 
313760105000030 THC1 25000 
313760105000036 THC1 25000 
313760105000037 THC1 25000 
313760105000039 THC1 25000 
313760105000040 THC1 25000 
313760105000043 THC1 25000 
313760105000045 THC1 25000 
313760105000048 THC1 25000 
313760105000050 THC1 25000 
313760105000058 THC1 25000 
313760105000064 THC1 25000 
313760105000066 THC1 25000 
313760105000067 THC1 25000 
313760105000068 THC1 25000 
313760105000069 THC1 25000 
313760105000071 THC1 25000 
313760105000072 THC1 25000 
313760105000074 THC1 25000 
313760105000075 THC1 25000 
313760105000076 THC1 25000 
313760105000077 THC1 25000 
313760105000078 THC1 25000 
313760105000080 THC1 25000 
313760105000081 THC1 25000 
313760105000082 THC1 25000 
313760105000083 THC1 25000 
313760105000084 THC1 25000 
313760105000085 THC1 25000 
313760105000086 THC1 25000 
313760105000087 THC1 25000 
313760105000088 THC1 25000 
313760105000089 THC1 25000 
313760105000090 THC1 25000 
313760105000091 THC1 25000 
313760105000092 THC1 25000 
313760105000094 THC1 25000 
313760105000095 THC1 25000 
313760105000096 THC1 25000 
313760105000097 THC1 25000 
313760105000098 THC1 25000 
313760105000099 THC1 25000 
313760105000101 THC1 25000 
313760105000102 THC1 25000 
313760105000103 THC1 25000 
313760105000105 THC1 25000 
313760105000106 THC1 25000 
313760105000108 THC1 25000 
313760105000109 THC1 25000 
313760105000110 THC1 25000 
313760105000112 THC1 25000 
313760105000114 THC1 25000 
313760105000118 THC1 25000 
313760105000120 THC1 25000 
313760105000122 THC1 25000 
313760105000123 THC1 25000 
313760105000124 THC1 25000 
313760105000125 THC1 25000 
313760105000126 THC1 25000 
313760105000127 THC1 25000 
313760105000128 THC1 25000 
313760105000129 THC1 25000 
313760105000132 THC1 25000 
313760105000133 THC1 25000 
313760105000134 THC1 25000 
313760105000135 THC1 25000 
313760105000136 THC1 25000 
313760105000138 THC1 25000 
313760105000139 THC1 25000 
313760105000140 THC1 25000 
313760105000141 THC1 25000 
313760105000142 THC1 25000 
313760105000144 THC1 25000 
313760105000145 THC1 25000 
313760105000146 THC1 25000 
313760105000147 THC1 25000 
313760105000150 THC1 25000 
313760105000151 THC1 25000 
313760105000152 THC1 25000 
313760105000161 THC1 25000 
313760105000162 THC1 25000 
313760105000163 THC1 25000 
313760105000164 THC1 25000 
313760105000165 THC1 25000 
313760105000166 THC1 25000 
313760105000167 THC1 25000 
313760105000168 THC1 25000 
313760105000169 THC1 25000 
313760105000170 THC1 25000 
313760105000171 THC1 25000 
313760105000172 THC1 25000 
313760105000173 THC1 25000 
313760105000174 THC1 25000 
313760105000175 THC1 25000 
313760105000176 THC1 25000 
313760105000177 THC1 25000 
313760105000178 THC1 25000 
313760105000179 THC1 25000 
313760105000180 THC1 25000 
313760105000182 THC1 25000 
313760105000183 THC1 25000 
313760105000184 THC1 25000 
313760105000185 THC1 25000 
313760105000186 THC1 25000 
313760105000187 THC1 25000 
313760105000188 THC1 25000 
313760105000189 THC1 25000 
313760105000190 THC1 25000 
313760105000191 THC1 25000 
313760105000192 THC1 25000 
313760105000193 THC1 25000 
313760105000194 THC1 25000 
313760105000195 THC1 25000 
313760105000196 THC1 25000 
313760105000198 THC1 25000 
313760105000199 THC1 25000 
313760105000200 THC1 25000 
313760105000201 THC1 25000 
313760105000202 THC1 25000 
313760105000203 THC1 25000 
313760105000204 THC1 25000 
313760105000205 THC1 25000 
313760105000206 THC1 25000 
313760105000207 THC1 25000 
313760105000208 THC1 25000 
313760105000209 THC1 25000 
313760105000210 THC1 25000 
313760105000211 THC1 25000 
313760105000212 THC1 25000 
313760105000213 THC1 25000 
313760105000214 THC1 25000 
313760105000215 THC1 25000 
313760105000216 THC1 25000 
313760105000217 THC1 25000 
313760105000218 THC1 25000 
313760105000219 THC1 25000 
313760105000220 THC1 25000 
313760105000221 THC1 25000 
313760105000222 THC1 25000 
313760105000223 THC1 25000 
313760105000224 THC1 25000 
313760105000225 THC1 25000 
313760105000226 THC1 25000 
313760105000227 THC1 25000 
313760105000228 THC1 25000 
313760105000229 THC1 25000 
313760105000230 THC1 25000 
313760105000231 THC1 25000 
313760105000232 THC1 25000 
313760105000233 THC1 25000 
313760105000234 THC1 25000 
313760105000235 THC1 25000 
313760105000236 THC1 25000 
313760105000237 THC1 25000 
313760105000238 THC1 25000 
313760105000239 THC1 25000 
313760105000240 THC1 25000 
313760105000241 THC1 25000 
313760105000242 THC1 25000 
313760105000243 THC1 25000 
313760105000245 THC1 25000 
313760105000246 THC1 25000 
313760105000247 THC1 25000 
313760105000248 THC1 25000 
313760105000249 THC1 25000 
313760105000250 THC1 25000 
313760105000251 THC1 25000 
313760105000252 THC1 25000 
313760105000253 THC1 25000 
313760105000254 THC1 25000 
313760105000255 THC1 25000 
313760105000256 THC1 25000 
313760105000257 THC1 25000 
313760105000258 THC1 25000 
313760105000259 THC1 25000 
313760105000260 THC1 25000 
313760105000261 THC1 25000 
313760105000262 THC1 25000 
313760105000263 THC1 25000 
313760105000264 THC1 25000 
313760105000265 THC1 25000 
313760105000266 THC1 25000 
313760105000267 THC1 25000 
313760105000268 THC1 25000 
313760105000269 THC1 25000 
313760105000270 THC1 25000 
313760105000271 THC1 25000 
313760105000272 THC1 25000 
313760105000273 THC1 25000 
313760105000274 THC1 25000 
313760105000275 THC1 25000 
313760105000276 THC1 25000 
313760105000277 THC1 25000 
313760105000278 THC1 25000 
313760105000279 THC1 25000 
313760105000280 THC1 25000 
313760105000281 THC1 25000 
313760105000282 THC1 25000 
313760105000283 THC1 25000 
313760105000284 THC1 25000 
313760105000285 THC1 25000 
;

param D1_2:=
313760105000002 SHC1 20000 
313760105000003 SHC1 20000 
313760105000005 SHC1 20000 
313760105000007 SHC1 20000 
313760105000008 SHC1 20000 
313760105000009 SHC1 20000 
313760105000010 SHC1 20000 
313760105000011 SHC1 20000 
313760105000012 SHC1 20000 
313760105000013 SHC1 20000 
313760105000015 SHC1 20000 
313760105000016 SHC1 20000 
313760105000020 SHC1 20000 
313760105000021 SHC1 20000 
313760105000022 SHC1 20000 
313760105000024 SHC1 20000 
313760105000026 SHC1 20000 
313760105000027 SHC1 20000 
313760105000028 SHC1 20000 
313760105000029 SHC1 20000 
313760105000030 SHC1 20000 
313760105000036 SHC1 20000 
313760105000037 SHC1 20000 
313760105000039 SHC1 20000 
313760105000040 SHC1 20000 
313760105000043 SHC1 20000 
313760105000045 SHC1 20000 
313760105000048 SHC1 20000 
313760105000050 SHC1 20000 
313760105000058 SHC1 20000 
313760105000064 SHC1 20000 
313760105000066 SHC1 20000 
313760105000067 SHC1 20000 
313760105000068 SHC1 20000 
313760105000069 SHC1 20000 
313760105000071 SHC1 20000 
313760105000072 SHC1 20000 
313760105000074 SHC1 20000 
313760105000075 SHC1 20000 
313760105000076 SHC1 20000 
313760105000077 SHC1 20000 
313760105000078 SHC1 20000 
313760105000080 SHC1 20000 
313760105000081 SHC1 20000 
313760105000082 SHC1 20000 
313760105000083 SHC1 20000 
313760105000084 SHC1 20000 
313760105000085 SHC1 20000 
313760105000086 SHC1 20000 
313760105000087 SHC1 20000 
313760105000088 SHC1 20000 
313760105000089 SHC1 20000 
313760105000090 SHC1 20000 
313760105000091 SHC1 20000 
313760105000092 SHC1 20000 
313760105000094 SHC1 20000 
313760105000095 SHC1 20000 
313760105000096 SHC1 20000 
313760105000097 SHC1 20000 
313760105000098 SHC1 20000 
313760105000099 SHC1 20000 
313760105000101 SHC1 20000 
313760105000102 SHC1 20000 
313760105000103 SHC1 20000 
313760105000105 SHC1 20000 
313760105000106 SHC1 20000 
313760105000108 SHC1 20000 
313760105000109 SHC1 20000 
313760105000110 SHC1 20000 
313760105000112 SHC1 20000 
313760105000114 SHC1 20000 
313760105000118 SHC1 20000 
313760105000120 SHC1 20000 
313760105000122 SHC1 20000 
313760105000123 SHC1 20000 
313760105000124 SHC1 20000 
313760105000125 SHC1 20000 
313760105000126 SHC1 20000 
313760105000127 SHC1 20000 
313760105000128 SHC1 20000 
313760105000129 SHC1 20000 
313760105000132 SHC1 20000 
313760105000133 SHC1 20000 
313760105000134 SHC1 20000 
313760105000135 SHC1 20000 
313760105000136 SHC1 20000 
313760105000138 SHC1 20000 
313760105000139 SHC1 20000 
313760105000140 SHC1 20000 
313760105000141 SHC1 20000 
313760105000142 SHC1 20000 
313760105000144 SHC1 20000 
313760105000145 SHC1 20000 
313760105000146 SHC1 20000 
313760105000147 SHC1 20000 
313760105000150 SHC1 20000 
313760105000151 SHC1 20000 
313760105000152 SHC1 20000 
313760105000161 SHC1 20000 
313760105000162 SHC1 20000 
313760105000163 SHC1 20000 
313760105000164 SHC1 20000 
313760105000165 SHC1 20000 
313760105000166 SHC1 20000 
313760105000167 SHC1 20000 
313760105000168 SHC1 20000 
313760105000169 SHC1 20000 
313760105000170 SHC1 20000 
313760105000171 SHC1 20000 
313760105000172 SHC1 20000 
313760105000173 SHC1 20000 
313760105000174 SHC1 20000 
313760105000175 SHC1 20000 
313760105000176 SHC1 20000 
313760105000177 SHC1 20000 
313760105000178 SHC1 20000 
313760105000179 SHC1 20000 
313760105000180 SHC1 20000 
313760105000182 SHC1 20000 
313760105000183 SHC1 20000 
313760105000184 SHC1 20000 
313760105000185 SHC1 20000 
313760105000186 SHC1 20000 
313760105000187 SHC1 20000 
